EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
209753,MARICOPA CO.,TONOPAH,01/21/2010,630,Flood,,,0,0,20000,0,AZ,MST-7,,35307,C,13,PSR,0,0,Law Enforcement,Heavy Rain,,,3,NE,9,ENE,TONOPAH,01/21/2010,645,33.53,-112.89,33.5254,-112.7836,Five people were rescued from flood waters at 389th and Orangewood.,"Widespread rain, heavy at times, resulted in numerous flooded streets, and low spots. Strong winds associated with a line of thunderstorms caused considerable damage to property and some minor injuries. Phoenix established a new all-time record low pressure of 29.20 inches on the 21st.",6
209754,MARICOPA CO.,WHITE TANKS,01/21/2010,1017,Flood,,,0,0,100000,0,AZ,MST-7,,35307,C,13,PSR,0,0,Law Enforcement,Heavy Rain,,,1,SE,1,NE,MC MICKEN,01/21/2010,1200,33.51,-112.42,33.5096,-112.4196,Sheriff reported a road closure due to flooding at Cotton road and Camelback. Numerous other streets in the West Valley had some flooding later in the day.,"Widespread rain, heavy at times, resulted in numerous flooded streets, and low spots. Strong winds associated with a line of thunderstorms caused considerable damage to property and some minor injuries. Phoenix established a new all-time record low pressure of 29.20 inches on the 21st.",7
209755,MARICOPA CO.,GOMEZ ARPT,01/21/2010,1810,Flood,,,0,0,10000,0,AZ,MST-7,,35307,C,13,PSR,0,0,Trained Spotter,Heavy Rain,,,3,E,4,ESE,GOMEZ ARPT,01/21/2010,1845,33.42,-112.11,33.4082,-112.1014,APS power lines were down from flood waters in the Salt River.,"Widespread rain, heavy at times, resulted in numerous flooded streets, and low spots. Strong winds associated with a line of thunderstorms caused considerable damage to property and some minor injuries. Phoenix established a new all-time record low pressure of 29.20 inches on the 21st.",8
208527,MARICOPA CO.,LAVEEN,01/21/2010,1845,Flood,,,0,0,2000000,0,AZ,MST-7,,35545,C,13,PSR,0,0,County Official,Heavy Rain,,,4,W,0,WNW,GOLDEN HILLS,01/21/2010,1930,33.38,-112.24,33.4314,-111.7035,"Streets were closed near the Salt River as well as many creeks and washes after the third major storm system moved through the area. Rainfall prior to and during the day on Friday amounted to between 5 and 7 inches. The swollen creeks and washes left many low-lying areas flooded for days, with damaged homes and businesses.","Streets and highways were closed, homes and businesses were flooded after the third storm system of the week moved across the deserts and into the foothills. Some locations reported flooding during the day of January 21, while the major flooding in Wenden struck in the early morning hours of Friday, January 22.",9
438250,MARICOPA CO.,SCOTTSDALE,03/08/2013,1320,Flood,,,1,0,0,0,AZ,MST-7,,72644,C,13,PSR,0,0,Broadcast Media,Heavy Rain,,,2,N,3,N,SCOTTSDALE,03/09/2013,1700,33.5056,-111.9035,33.521,-111.9046,"Scattered thunderstorms associated with a powerful winter storm dropped locally heavy rainfall across portions of the greater Phoenix metropolitan area, including the community of Scottsdale, during the afternoon hours on March 8th. An Urban and Small Stream Flood Advisory was issued at 120 pm for south central Arizona, including Fountain Hills and Scottdale, and it continued through 315 pm. Radar indicated that rain in excess of 1 inch fell during this period, with additional rain occurring late into the day. The rain led to the flooding of washes in Scottsdale. According to a Fox 10 article, Scottsdale police identified the body of a woman found in a rain swollen wash in Scottsdale on Saturday afternoon on March 9th. The woman, 38 years old, was found in the wash just north of Chaparral Road, off Hayden Road. She lived in a group home about 1 imile away from the wash and she was reported missing Friday as the weather worsened. A man who was in the area Saturday afternoon spotted the woman floating in the water, and called 911. Police then arrived at the wash at about 430 pm Saturday.","A powerful winter storm moved east across the central Arizona deserts on the 8th of March, and the associated cold front passed over the area during the afternoon hours bringing gusty winds in excess of 50 mph, locally heavy rain and small to moderate hail. The cold front generated scattered thunderstorms, which produced locally damaging winds in the greater Phoenix area, and locally heavy thunderstorm rains caused some flooding of streets and washes. Flooding of washes occurred in the community of Scottsdale, and one woman was found dead in one of the flooded washes.",10
479783,MARICOPA CO.,GOLDEN HILLS,11/22/2013,450,Flood,,,0,0,0,0,AZ,MST-7,,80115,C,13,PSR,0,0,Trained Spotter,Heavy Rain,,,1,ENE,1,NW,DESERT SANDS,11/22/2013,800,33.436,-111.6829,33.4071,-111.6819,"A Pacific low pressure system off the southern California coast spread copious amounts of moisture into Arizona during the day on Friday, November 22nd. Locally heavy rainfall actually began during the evening hours on the 21st and continued through much of the day Friday the 22nd. By Friday evening many locations across the greater Phoenix area had received between one and two inches of rain. This led to areas of urban and small stream flooding across communities such as Mesa. According to a trained weather spotter 2 miles east of East Mesa, there was considerable roadway flooding during the morning hours, making the Apache Trail near 80th Street nearly impassable.","A persistent upper level low pressure system located off of the southern California coast spread copious amounts of subtropical moisture northeastward and into Arizona beginning during the evening hours of November 21st and continuing through the day on Friday, November 22nd. As a result, copious amounts of rain fell across south central Arizona, and many locations picked up storm total rainfall amounts in excess of 2 inches, ending on Saturday November 23rd. The heaviest rain fell during the day on Friday, and it led to areas of flooding which affected much of the greater Phoenix metropolitan area. Due to the relatively constant rate of rainfall, flash flooding was not an issue; urban and small stream as well as areal flooding developed and persisted off and on during the day Friday.",11
479785,MARICOPA CO.,WHITE TANKS,11/22/2013,610,Flood,,,0,0,0,0,AZ,MST-7,,80115,C,13,PSR,0,0,Department of Highways,Heavy Rain,,,2,NW,1,W,WEBB,11/22/2013,1100,33.5448,-112.4506,33.5477,-112.3936,"A Pacific low pressure system off the southern California coast spread copious amounts of moisture into Arizona during the day on Friday, November 22nd. Locally heavy rainfall actually began during the evening hours on the 21st and continued through much of the day Friday the 22nd. By Friday evening many locations across the greater Phoenix area had received between one and two inches of rain. This led to areas of urban and small stream flooding across western portions of the greater Phoenix metropolitan area. According to the Arizona Department of Highways, flooding occurred during the morning hours along the Loop 303 between Camelback Road and Peoria. This forced the closure of the Loop 303.","A persistent upper level low pressure system located off of the southern California coast spread copious amounts of subtropical moisture northeastward and into Arizona beginning during the evening hours of November 21st and continuing through the day on Friday, November 22nd. As a result, copious amounts of rain fell across south central Arizona, and many locations picked up storm total rainfall amounts in excess of 2 inches, ending on Saturday November 23rd. The heaviest rain fell during the day on Friday, and it led to areas of flooding which affected much of the greater Phoenix metropolitan area. Due to the relatively constant rate of rainfall, flash flooding was not an issue; urban and small stream as well as areal flooding developed and persisted off and on during the day Friday.",12
530946,MARICOPA CO.,WEST CHANDLER,08/12/2014,1945,Flood,,,0,0,2000000,0,AZ,MST-7,,87970,C,13,PSR,0,0,Law Enforcement,Heavy Rain,,,3,WSW,4,SW,GUADALUPE,08/13/2014,430,33.2898,-112.0022,33.3363,-112.0152,"Scattered to numerous thunderstorms produced locally heavy rain across the south central portions of the greater Phoenix metropolitan area during the afternoon and evening hours on August 12th. Peak rainfall rates were well in excess of one inch per hour at times, and storm total rainfall amounts exceeded 3 inches. Some of the hardest hit communities included Laveen, Ahwatukee and South Phoenix. At 1930MST, a trained weather spotter 3 miles northwest of South Mountain Park measured an afternoon storm total rainfall of 3.2 inches. According to the Maricopa County Sheriff's office, heavy rain led to flash flooding and subsequently areal flooding. Numerous roads were flooded and closed, including the intersections of 27th Avenue and Cheyenne Drive, and 45th Avenue and Ivanhoe Street. Many homes in the area, especially those along Dobbins Road between 19th Avenue and 51st Avenue, suffered significant flood damage, as water 1-3 feet filled up their residences. The flooding also produced significant damage to the SRP water system according to SRP spokesman Jeff Lane. The flooding prompted the issuance of an Areal Flood Warning which remained in effect through the early morning hours on August 13th. No injuries were reported due to the flooding.","Thunderstorms continued to develop across south central Arizona during the afternoon hours on August 12th, and they persisted well into the evening. Many of the storms affected the greater Phoenix metropolitan area. Due to excessively moist atmospheric conditions, a Flash Flood Watch was in effect from noon August 12th through 5 am on Wednesday August 13th. Many of the thunderstorms produced locally heavy rain with rainfall rates in excess of 2 inches per hour at times. The heavy rain led to urban flooding, flash flooding, and eventually areal flooding which affected much of the greater Phoenix area, especially the southeast and south central portions.",13
537718,MARICOPA CO.,MC QUEEN,09/08/2014,1200,Flood,,,0,0,5000000,0,AZ,MST-7,,88413,C,13,PSR,0,0,Newspaper,Heavy Rain,,,1,ESE,2,E,MC QUEEN,09/10/2014,500,33.3944,-111.8081,33.3948,-111.7927,"Widespread showers and embedded thunderstorms produced very heavy rainfall in Mesa during the morning hours on September 8th; peak rain rates were well in excess of 2 inches per hour and many locations received between 3 and 5 inches of rain with this event. The heavy rain led to significant urban flooding across Mesa, and one area that was especially hit hard was the Emerald Acres neighborhood located just north of US 60, and bounded by Stapley Drive and Harris. Water flowing towards the south ran up against a large berm protecting the Superstition freeway and had nowhere to go. A flood control canal bordering the freeway as well as several water retention basins were in place to protect against flooding; due to the excessive volume of runoff they were overwhelmed and as a result the neighborhood became flooded with one to three feet of water. Approximately 200 homes suffered significant flood damage and many residents had to be evacuated. Many of the homes suffered ruined flooring as well as damaged drywall that needed to be replaced. Crews started pumping water out of the area with large machines on Tuesday, September 9th and by early morning Wednesday, most of the water was removed from the streets in the Harris/Stapley neighborhood. It was estimated that water would not be completely removed for a week.","Showers and embedded thunderstorms developed across south central Arizona during the early morning hours on September 8th, and as the morning progressed the showers intensified and became more and more widespread. Partially due to an infusion of tropical moisture from former hurricane Norbert, the storms produced intense rainfall with rainfall rates commonly in excess of 2 inches per hour and in some cases, in excess of 6 inches per hour for short periods of time. By the middle of the morning, most of the central deserts had received over two inches of rain, and many locations across the greater Phoenix metropolitan area picked up between 3 and 6 inches of rainfall. Phoenix Sky Harbor airport received 3.29 inches of rainfall with this event; the rain total set an all time record for any calendar date. The rainfall caused widespread flash flooding followed by flooding; numerous roads were closed. Several freeways were closed, including Interstate 10, as pumping stations failed and lakes several feet deep formed across portions of the freeways. Hundreds of cars were stranded across the greater Phoenix area, many buried to the top of their hoods in flood waters. Hundreds of homes and apartment complexes across the greater Phoenix area were flooded. Heavy rains damaged roofs across the valley, and collapsed the roof of a Fry's grocery store in Tempe. Clearly, the heavy rainfall led to a historic flooding event across south central Arizona on September 8th.",14
541007,MARICOPA CO.,GOODYEAR ARPT,09/27/2014,1500,Flood,,,0,0,50000,0,AZ,MST-7,,89652,C,13,PSR,0,0,Broadcast Media,Heavy Rain,,,1,W,2,WNW,LITCHFIELD PARK,09/27/2014,2030,33.42,-112.4,33.5048,-112.3984,"A line of very strong thunderstorms moved across the western portion of the greater Phoenix Metropolitan area during the early afternoon hours, affecting communities such as Litchfield Park, Avondale and Goodyear. The storms produced very heavy rainfall with rain rates in excess of 2 inches per hour and this led to significant, widespread urban flooding. According to a report from local broadcast media, the heavy rains flooded neighborhoods in Litchfield Park and Goodyear, especially in the areas near 156th Avenue and West Indian School Road. The flooding was reported at about 1600MST, and soon afterward an Areal Flood Warning was issued for the area. The warning remained in effect through 2030MST.","A vigorous upper level low pressure system and associated cold front combined to produce strong thunderstorms with locally heavy rain over south central Arizona during the afternoon and evening hours on September 27th. During the early afternoon, a severe squall line moved east across south central Arizona, bringing damaging winds. Shortly thereafter, heavy rains developed which initially led to both urban flooding and flash flooding; as the afternoon progressed more significant areal flooding developed over the central deserts which prompted the issuance of multiple Areal Flood Warnings. Numerous Flash Flood Warnings and Urban and Small Stream Flood Advisories were issued for south central Arizona with this heavy rainfall event. No injuries were reported due to the flooding.",15
